coord_key	n_samples	country	state	municipality	town	type	class	display_name
54.7386,10.7283		Danmark	Region Syddanmark	Langeland Kommune	Vognsbjerg	hamlet	place	Vognsbjerg, Langeland Kommune, Region Syddanmark, 5935, Danmark
54.7386,11.5863		Danmark	Region Sjælland	Guldborgsund Kommune	Skovby	hamlet	place	Skovby, Guldborgsund Kommune, Region Sjælland, Danmark
54.739,11.5882		Danmark	Region Sjælland	Guldborgsund Kommune	Skovby	hamlet	place	Skovby, Guldborgsund Kommune, Region Sjælland, Danmark
54.7392,10.7001		Danmark	Region Syddanmark	Langeland Kommune	Bagenkop	hamlet	place	Voster, Bagenkop, Langeland Kommune, Region Syddanmark, 5935, Danmark
54.7398,10.6995		Danmark	Region Syddanmark	Langeland Kommune	Bagenkop	hamlet	place	Voster, Bagenkop, Langeland Kommune, Region Syddanmark, 5935, Danmark
54.7399,11.5863		Danmark	Region Sjælland	Guldborgsund Kommune	Skovby	hamlet	place	Skovby, Guldborgsund Kommune, Region Sjælland, Danmark
54.7401,10.6994		Danmark	Region Syddanmark	Langeland Kommune	Bagenkop	hamlet	place	Voster, Bagenkop, Langeland Kommune, Region Syddanmark, 5935, Danmark
54.7406,11.5875		Danmark	Region Sjælland	Guldborgsund Kommune	Skovby	hamlet	place	Skovby, Guldborgsund Kommune, Region Sjælland, Danmark
54.7413,11.5882		Danmark	Region Sjælland	Guldborgsund Kommune	Skovby	hamlet	place	Skovby, Guldborgsund Kommune, Region Sjælland, Danmark
54.7414,10.6705		Danmark	Region Syddanmark	Langeland Kommune	Bagenkop	hamlet	place	Harsmark, Bagenkop, Langeland Kommune, Region Syddanmark, 5935, Danmark
54.7422,11.5857		Danmark	Region Sjælland	Guldborgsund Kommune	Skovby	hamlet	place	Skovby, Guldborgsund Kommune, Region Sjælland, Danmark
54.7423,11.5852		Danmark	Region Sjælland	Guldborgsund Kommune	Skovby	hamlet	place	Skovby, Guldborgsund Kommune, Region Sjælland, Danmark
54.7426,11.5991		Danmark	Region Sjælland	Guldborgsund Kommune	Sakskøbing	town	place	Sakskøbing, Guldborgsund Kommune, Region Sjælland, 4990, Danmark
54.7457,11.5514		Danmark	Region Sjælland	Lolland Kommune	Maribo	town	place	Maribo, Lolland Kommune, Region Sjælland, 4930, Danmark
54.7484,10.6767		Danmark	Region Syddanmark	Langeland Kommune	Bagenkop	hamlet	place	Harsmark, Bagenkop, Langeland Kommune, Region Syddanmark, 5935, Danmark
54.7509,10.6747		Danmark	Region Syddanmark	Langeland Kommune	Bagenkop	hamlet	place	Øen, Bagenkop, Langeland Kommune, Region Syddanmark, 5935, Danmark
54.7519,11.5545		Danmark	Region Sjælland	Lolland Kommune	Maribo	town	place	Maribo, Lolland Kommune, Region Sjælland, 4930, Danmark
54.7536,11.5708		Danmark	Region Sjælland	Guldborgsund Kommune	Skovby	hamlet	place	Skovby, Guldborgsund Kommune, Region Sjælland, Danmark
54.7545,11.4872		Danmark	Region Sjælland	Lolland Kommune	Maribo	hamlet	place	Mallehøj, Maribo, Lolland Kommune, Region Sjælland, 4960, Danmark
54.755,10.6946		Danmark	Region Syddanmark	Langeland Kommune	Bagenkop	hamlet	place	Voster, Bagenkop, Langeland Kommune, Region Syddanmark, 5935, Danmark
54.7553,11.4923		Danmark	Region Sjælland	Lolland Kommune	Bursø	hamlet	place	Bursø, Lolland Kommune, Region Sjælland, 4960, Danmark
54.7554,11.4925		Danmark	Region Sjælland	Lolland Kommune	Bursø	hamlet	place	Bursø, Lolland Kommune, Region Sjælland, 4960, Danmark
54.7558,11.4919		Danmark	Region Sjælland	Lolland Kommune	Bursø	hamlet	place	Bursø, Lolland Kommune, Region Sjælland, 4960, Danmark
54.7582,11.4889		Danmark	Region Sjælland	Lolland Kommune	Maribo	hamlet	place	Mallehøj, Maribo, Lolland Kommune, Region Sjælland, 4960, Danmark
54.7589,11.4881		Danmark	Region Sjælland	Lolland Kommune	Maribo	hamlet	place	Mallehøj, Maribo, Lolland Kommune, Region Sjælland, 4960, Danmark
54.7599,11.5356		Danmark	Region Sjælland	Lolland Kommune	Maribo	hamlet	place	Refshale, Maribo, Lolland Kommune, Region Sjælland, 4930, Danmark
