coord_key	n_samples	country	state	municipality	town	type	class	display_name
54.8705,10.3363		Danmark	Region Syddanmark	Ærø Kommune	Vindeballe	hamlet	place	Voderup, Vindeballe, Ærø Kommune, Region Syddanmark, 5970, Danmark
54.8711,10.3296		Danmark	Region Syddanmark	Ærø Kommune	Vindeballe	hamlet	place	Voderup, Vindeballe, Ærø Kommune, Region Syddanmark, 5970, Danmark
54.8725,10.3295		Danmark	Region Syddanmark	Ærø Kommune	Vindeballe	hamlet	place	Voderup, Vindeballe, Ærø Kommune, Region Syddanmark, 5970, Danmark
54.874,12.0393		Danmark	Region Sjælland	Guldborgsund Kommune	Stubbekøbing	village	place	Stubbekøbing, Guldborgsund Kommune, Region Sjælland, 4850, Danmark
54.8743,10.3287		Danmark	Region Syddanmark	Ærø Kommune	Vindeballe	hamlet	place	Voderup, Vindeballe, Ærø Kommune, Region Syddanmark, 5970, Danmark
54.8772,14.3827								
54.8778,11.8837		Danmark	Region Sjælland	Guldborgsund Kommune	Ravnstrup	hamlet	place	Ravnstrup, Guldborgsund Kommune, Region Sjælland, 4863, Danmark
54.8791,11.0152		Danmark	Region Sjælland	Lolland Kommune	Tårs	hamlet	place	Tårs, Lolland Kommune, Region Sjælland, 4912, Danmark
54.8803,11.0176		Danmark	Region Sjælland	Lolland Kommune	Tårs	hamlet	place	Tårs, Lolland Kommune, Region Sjælland, 4912, Danmark
54.8814,11.728		Danmark	Region Sjælland	Guldborgsund Kommune	Guldborg	village	place	Guldborg, Guldborgsund Kommune, Region Sjælland, 4862, Danmark
54.8819,9.1811		Danmark	Region Syddanmark	Aabenraa Kommune	Skelbæk	hamlet	place	Skelbæk, Aabenraa Kommune, Region Syddanmark, 6360, Danmark
54.8823,9.6605		Danmark	Region Syddanmark	Sønderborg Kommune	Broager	isolated_dwelling	place	Nejs Mølle, Broager Vestermark, Broager, Sønderborg Kommune, Region Syddanmark, 6310, Danmark
54.8829,12.148		Danmark	Region Sjælland	Vordingborg Kommune	Hårbølle Havn	hamlet	place	Hårbølle Hestehave, Hårbølle Havn, Vordingborg Kommune, Region Sjælland, 4792, Danmark
54.8831,11.3083		Danmark	Region Sjælland	Lolland Kommune	Birket	hamlet	place	Bregneholt, Birket, Lolland Kommune, Region Sjælland, 4953, Danmark
54.8831,12.1479		Danmark	Region Sjælland	Vordingborg Kommune	Hårbølle Havn	hamlet	place	Hårbølle Hestehave, Hårbølle Havn, Vordingborg Kommune, Region Sjælland, 4792, Danmark
54.8833,12.1423		Danmark	Region Sjælland	Vordingborg Kommune	Hårbølle Havn	hamlet	place	Hårbølle Hestehave, Hårbølle Havn, Vordingborg Kommune, Region Sjælland, 4792, Danmark
54.8836,12.1422		Danmark	Region Sjælland	Vordingborg Kommune	Hårbølle Havn	hamlet	place	Hårbølle Hestehave, Hårbølle Havn, Vordingborg Kommune, Region Sjælland, 4792, Danmark
54.8836,12.1486		Danmark	Region Sjælland	Vordingborg Kommune	Hårbølle Havn	hamlet	place	Hårbølle Hestehave, Hårbølle Havn, Vordingborg Kommune, Region Sjælland, 4792, Danmark
54.8837,12.1417		Danmark	Region Sjælland	Vordingborg Kommune	Hårbølle Havn	hamlet	place	Hårbølle Hestehave, Hårbølle Havn, Vordingborg Kommune, Region Sjælland, 4792, Danmark
54.8847,12.0241		Danmark	Region Sjælland	Guldborgsund Kommune	Stubbekøbing	hamlet	place	Fjendstrup, Stubbekøbing, Guldborgsund Kommune, Region Sjælland, 4850, Danmark
