row_type	mfd_sampletype	mfd_areatype	mfd_hab1_code	mfd_hab1	mfd_hab2_code	mfd_hab2	mfd_hab3_code	mfd_hab3	Natura2000	EUNIS	EMPO	n_samples	env_broad_scale	env_broad_scale_provenance	env_local_scale	env_local_scale_provenance	env_medium	env_medium_provenance	cur_vegetation	cur_vegetation_provenance	cur_land_use	cur_land_use_provenance	misc_param_json	misc_param_provenance
ontology_leaf	Soil	Natural	2000	Dunes					2000	N1	Free-living; Non-saline;  Soil (non-saline)	3	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab1	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Dunes	from_mfdo:hab1	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2100	Sea dunes			2100		Free-living; Non-saline;  Soil (non-saline)	3	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Sea dunes	from_mfdo:hab2	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2100	Sea dunes	2110	Embryonic shifting dunes	2110		Free-living; Non-saline;  Soil (non-saline)	22	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Embryonic shifting dunes	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2100	Sea dunes	2120	Marram dunes (white dunes)	2120		Free-living; Non-saline;  Soil (non-saline)	32	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Marram dunes (white dunes)	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2100	Sea dunes	2130	Fixed dunes (grey dunes)	2130	N15	Free-living; Non-saline;  Soil (non-saline)	128	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Fixed dunes (grey dunes)	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2100	Sea dunes	2140	Decalcified Empetrum dunes	2140		Free-living; Non-saline;  Soil (non-saline)	200	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Decalcified Empetrum dunes	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2100	Sea dunes	2160	Dunes H. rhamnoides	2160		Free-living; Non-saline;  Soil (non-saline)	17	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Dunes H. rhamnoides	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2100	Sea dunes	2170	Dunes creeping willow	2170		Free-living; Non-saline;  Soil (non-saline)	16	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Dunes creeping willow	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2100	Sea dunes	2180	Wooded dunes	2180		Free-living; Non-saline;  Soil (non-saline)	29	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Wooded dunes	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2100	Sea dunes	2190	Humid dune slacks	2190		Free-living; Non-saline;  Soil (non-saline)	81	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	dune slack [ENVO:00000308]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Humid dune slacks	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2200	Sea dunes	2250	Coastal dunes with Juniperus spp.	2250		Free-living; Non-saline;  Soil (non-saline)	16	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Coastal dunes with Juniperus spp.	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2300	Inland dunes			2300		Free-living; Non-saline;  Soil (non-saline)	3	temperate grassland biome [ENVO:01000193]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Inland dunes	from_mfdo:hab2	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2300	Inland dunes	2310	Inland dunes Genista	2310		Free-living; Non-saline;  Soil (non-saline)	8	temperate grassland biome [ENVO:01000193]	from_mfdo:hab2	heath [ENVO:00000107]	from_mfdo:hab3+gee_corine	soil [ENVO:00001998]	from_mfdo:sampletype	Inland dunes Genista	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2300	Inland dunes	2320	Inland dunes Empetrum nigrum	2320		Free-living; Non-saline;  Soil (non-saline)	22	temperate grassland biome [ENVO:01000193]	from_mfdo:hab2	coastal dune [ENVO:00000416]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Inland dunes Empetrum nigrum	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	2000	Dunes	2300	Inland dunes	2330	Inland dunes grass	2330		Free-living; Non-saline;  Soil (non-saline)	13	temperate grassland biome [ENVO:01000193]	from_mfdo:hab2	temperate grassland [ENVO:01001811]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Inland dunes grass	from_mfdo:hab3	sand	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	4000	Temperate heath and scrub					4000		Free-living; Non-saline;  Soil (non-saline)	9	shrubland biome [ENVO:01000176]	from_mfdo:hab1	heath [ENVO:00000107]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Temperate heath and scrub	from_mfdo:hab1	shrub land	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	4000	Temperate heath and scrub	4100	Temperate heath					Free-living; Non-saline;  Soil (non-saline)	0	shrubland biome [ENVO:01000176]	from_mfdo:hab1	heath [ENVO:00000107]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Temperate heath	from_mfdo:hab2	shrub land	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	4000	Temperate heath and scrub	4100	Temperate heath	4110	Wet heath	4010		Free-living; Non-saline;  Soil (non-saline)	149	shrubland biome [ENVO:01000176]	from_mfdo:hab1	heath [ENVO:00000107]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Wet heath	from_mfdo:hab3	shrub land	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	4000	Temperate heath and scrub	4100	Temperate heath	4130	Dry heath	4030		Free-living; Non-saline;  Soil (non-saline)	192	shrubland biome [ENVO:01000176]	from_mfdo:hab1	heath [ENVO:00000107]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Dry heath	from_mfdo:hab3	shrub land	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	5000	Sclerophyllous scrub					5000		Free-living; Non-saline;  Soil (non-saline)	0	shrubland biome [ENVO:01000176]	from_mfdo:hab1	scrubland area [ENVO:00000300]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Sclerophyllous scrub	from_mfdo:hab1	shrub land	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	5000	Sclerophyllous scrub	5100	Scrub			5100		Free-living; Non-saline;  Soil (non-saline)	8	shrubland biome [ENVO:01000176]	from_mfdo:hab1	scrubland area [ENVO:00000300]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Scrub	from_mfdo:hab2	shrub land	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	5000	Sclerophyllous scrub	5100	Scrub	5130	Juniper scrub	5130		Free-living; Non-saline;  Soil (non-saline)	47	shrubland biome [ENVO:01000176]	from_mfdo:hab1	juniper woodland [ENVO:01000241]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Juniper scrub	from_mfdo:hab3	shrub land	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	6000	Grassland formations					6000	R	Free-living; Non-saline;  Soil (non-saline)	4	grassland biome [ENVO:01000177]	from_mfdo:hab1	temperate grassland [ENVO:01001811]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Grassland formations	from_mfdo:hab1				
ontology_leaf	Soil	Natural	6000	Grassland formations	6100	Natural grasslands			6100	R	Free-living; Non-saline;  Soil (non-saline)	0	grassland biome [ENVO:01000177]	from_mfdo:hab1	temperate grassland [ENVO:01001811]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Natural grasslands	from_mfdo:hab2	rangeland	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6100	Natural grasslands	6120	Xeric sand calcareous grasslands	6120		Free-living; Non-saline;  Soil (non-saline)	60	grassland biome [ENVO:01000177]	from_mfdo:hab1	temperate grassland [ENVO:01001811]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Xeric sand calcareous grasslands	from_mfdo:hab3	rangeland	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6200	Semi-natural dry grasslands			6200	R	Free-living; Non-saline;  Soil (non-saline)	82	grassland biome [ENVO:01000177]	from_mfdo:hab1	temperate grassland [ENVO:01001811]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Semi-natural dry grasslands	from_mfdo:hab2	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6200	Semi-natural dry grasslands	6210	Calcareous grassland	6210		Free-living; Non-saline;  Soil (non-saline)	219	grassland biome [ENVO:01000177]	from_mfdo:hab1	temperate grassland [ENVO:01001811]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Calcareous grassland	from_mfdo:hab3	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6200	Semi-natural dry grasslands	6230	Species-rich Nardus upland grassland	6230		Free-living; Non-saline;  Soil (non-saline)	506	grassland biome [ENVO:01000177]	from_mfdo:hab1	temperate grassland [ENVO:01001811]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Species-rich Nardus upland grassland	from_mfdo:hab3	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6400	Semi-natural tall-herb humid meadows			6400	R	Free-living; Non-saline;  Soil (non-saline)	89	grassland biome [ENVO:01000177]	from_mfdo:hab1	wet meadow ecosystem [ENVO:01000449]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Semi-natural tall-herb humid meadows	from_mfdo:hab2	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6400	Semi-natural tall-herb humid meadows	6410	Molinia meadows	6410		Free-living; Non-saline;  Soil (non-saline)	132	grassland biome [ENVO:01000177]	from_mfdo:hab1	wet meadow ecosystem [ENVO:01000449]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Molinia meadows	from_mfdo:hab3	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6400	Semi-natural tall-herb humid meadows	6411	Natural meadow (6410 subtype)		R	Free-living; Non-saline;  Soil (non-saline)	11	grassland biome [ENVO:01000177]	from_mfdo:hab1	wet meadow ecosystem [ENVO:01000449]	from_mfdo:hab3	soil [ENVO:00001998]	from_mfdo:sampletype	Natural meadow (6410 subtype)	from_mfdo:hab3	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6400	Semi-natural tall-herb humid meadows	6430	Hydrophilous tall-herb swamp	6430		Free-living; Non-saline;  Soil (non-saline)	278	grassland biome [ENVO:01000177]	from_mfdo:hab1	freshwater marsh [ENVO:00000053]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Hydrophilous tall-herb swamp	from_mfdo:hab3	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6400	Semi-natural tall-herb humid meadows	6431	Agricultural meadow (6430 subtype)		R	Free-living; Non-saline;  Soil (non-saline)	42	grassland biome [ENVO:01000177]	from_mfdo:hab1	wet meadow ecosystem [ENVO:01000449]	from_mfdo:hab3	soil [ENVO:00001998]	from_mfdo:sampletype	Agricultural meadow (6430 subtype)	from_mfdo:hab3	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6500	Grasslands (non-habitat type)				R	Free-living; Non-saline;  Soil (non-saline)	0	grassland biome [ENVO:01000177]	from_mfdo:hab1	grassland ecosystem [ENVO:01001206]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Grassland formations	from_mfdo:hab1	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	6000	Grassland formations	6500	Grasslands (non-habitat type)	6510	§3 grasslands		R	Free-living; Non-saline;  Soil (non-saline)	0	grassland biome [ENVO:01000177]	from_mfdo:hab1	grassland ecosystem [ENVO:01001206]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	grasslands	from_mfdo:decomposed	meadows	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens					7000	Q	Free-living; Non-saline;  Soil (non-saline)	39	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	peatland [ENVO:00000044]	from_mfdo:hab1	peat soil [ENVO:00005774]	from_mfdo:hab1	Bogs, mires and fens	from_mfdo:hab1				
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7100	Sphagnum acid bogs			7100	Q	Free-living; Non-saline;  Soil (non-saline)	9	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	sphagnum bog [ENVO:00002268]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Sphagnum acid bogs	from_mfdo:hab2	swamp	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7100	Sphagnum acid bogs	7110	Active raised bogs	7110		Free-living; Non-saline;  Soil (non-saline)	16	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	raised mire [ENVO:00000185]	from_mfdo:hab3	peat soil [ENVO:00005774]	from_mfdo:hab1	Active raised bogs	from_mfdo:hab3	swamp	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7100	Sphagnum acid bogs	7120	Degraded raised bog	7120		Free-living; Non-saline;  Soil (non-saline)	36	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	raised mire [ENVO:00000185]	from_mfdo:hab3	peat soil [ENVO:00005774]	from_mfdo:hab1	Degraded raised bog	from_mfdo:hab3	swamp	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7100	Sphagnum acid bogs	7140	Quaking bogs	7140		Free-living; Non-saline;  Soil (non-saline)	61	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	sphagnum bog [ENVO:00002268]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Quaking bogs	from_mfdo:hab3	swamp	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7100	Sphagnum acid bogs	7150	Rhynchosporion depressions	7150		Free-living; Non-saline;  Soil (non-saline)	11	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	sphagnum bog [ENVO:00002268]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Rhynchosporion depressions	from_mfdo:hab3	swamp	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7100	Sphagnum acid bogs	7160	Mineral-rich springs and springfens (not Fennoscandia)	7160		Free-living; Non-saline;  Soil (non-saline)	2	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	mineral spring [ENVO:00000125]	from_natura2000	peat soil [ENVO:00005774]	from_mfdo:hab1	Mineral-rich springs and springfens (not Fennoscandia)	from_mfdo:hab3	swamp	from_mfdo:hab2	"[{""has_attribute_label"":""geographic exclusion"",""has_value_term_label"":""not Fennoscandia""}]"	from_mfdo:decomposed
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7200	Calcareous fens			7200	Q	Free-living; Non-saline;  Soil (non-saline)	20	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	fen [ENVO:00000232]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Calcareous fens	from_mfdo:hab2	marshlands	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7200	Calcareous fens	7210	Cladium fens	7210		Free-living; Non-saline;  Soil (non-saline)	18	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	fen [ENVO:00000232]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Cladium fens	from_mfdo:hab3	marshlands	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7200	Calcareous fens	7220	Petrifying springs	7220		Free-living; Non-saline;  Soil (non-saline)	80	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	spring [ENVO:00000027]	from_natura2000	soil [ENVO:00001998]	from_natura2000	Calcareous fens	from_mfdo:hab2	marshlands	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7200	Calcareous fens	7230	Alkaline fens	7230		Free-living; Non-saline;  Soil (non-saline)	158	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	fen [ENVO:00000232]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Alkaline fens	from_mfdo:hab3	marshlands	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7300	Fen wetland (non-habitat type)				Q	Free-living; Non-saline;  Soil (non-saline)	0	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	fen [ENVO:00000232]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Bogs, mires and fens	from_mfdo:hab1	marshlands	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7300	Fen wetland (non-habitat type)	7307	Wet fens		Q	Free-living; Non-saline;  Soil (non-saline)	0	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	fen [ENVO:00000232]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Wet fens	from_mfdo:hab3	marshlands	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7700	Wet thicket  (non-habitat type)				Q	Free-living; Non-saline;  Soil (non-saline)	78	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	peatland [ENVO:00000044]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Bogs, mires and fens	from_mfdo:hab1	swamp	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7900	Mire (non-habitat type)				Q	Free-living; Non-saline;  Soil (non-saline)	2	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	raised mire [ENVO:00000185]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	Bogs, mires and fens	from_mfdo:hab1	swamp	from_mfdo:hab2		
ontology_leaf	Soil	Natural	7000	Bogs, mires and fens	7900	Mire (non-habitat type)	7910	§3 mire		Q	Free-living; Non-saline;  Soil (non-saline)	0	flooded grassland biome [ENVO:01000195]	from_mfdo:hab1	raised mire [ENVO:00000185]	from_mfdo:hab2	peat soil [ENVO:00005774]	from_mfdo:hab1	mire	from_mfdo:decomposed	swamp	from_mfdo:hab2		
ontology_leaf	Soil	Natural	8000	Rocky habitats and caves					8000		Free-living; Non-saline;  Soil (non-saline)	0	terrestrial biome [ENVO:00000446]	from_mfdo:hab1	rocky slope [ENVO:01000319]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype			rock	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	8000	Rocky habitats and caves	8200	Rocky slopes with vegetation			8200		Free-living; Non-saline;  Soil (non-saline)	0	terrestrial biome [ENVO:00000446]	from_mfdo:hab1	rocky slope [ENVO:01000319]	from_mfdo:hab2	soil [ENVO:00001998]	from_mfdo:sampletype	Rocky slopes with vegetation	from_mfdo:hab2	rock	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	8000	Rocky habitats and caves	8200	Rocky slopes with vegetation	8220	Siliceous rocky slopes	8220		Free-living; Non-saline;  Soil (non-saline)	23	terrestrial biome [ENVO:00000446]	from_mfdo:hab1	rocky slope [ENVO:01000319]	from_mfdo:hab2	soil [ENVO:00001998]	from_mfdo:sampletype	Rocky slopes with vegetation	from_mfdo:hab2	rock	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	8000	Rocky habitats and caves	8200	Rocky slopes with vegetation	8230	Siliceous rock with pioneer vegetation	8230		Free-living; Non-saline;  Soil (non-saline)	0	terrestrial biome [ENVO:00000446]	from_mfdo:hab1	rocky slope [ENVO:01000319]	from_mfdo:hab2	soil [ENVO:00001998]	from_mfdo:sampletype	Siliceous rock with pioneer vegetation	from_mfdo:hab3	rock	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	8000	Rocky habitats and caves	8300	Other rocky habitats			8300		Free-living; Non-saline;  Soil (non-saline)	0	terrestrial biome [ENVO:00000446]	from_mfdo:hab1	rocky slope [ENVO:01000319]	from_mfdo:hab2	soil [ENVO:00001998]	from_mfdo:sampletype			rock	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	8000	Rocky habitats and caves	8300	Other rocky habitats	8330	Sea caves	8330		Free-living; Non-saline;  Soil (non-saline)	0	terrestrial biome [ENVO:00000446]	from_mfdo:hab1	sea cave [ENVO:00000326]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype			rock	from_mfdo:areatype+hab1		
ontology_leaf	Soil	Natural	9000	Forests					9000	T	Free-living; Non-saline;  Soil (non-saline)	127	forest biome [ENVO:01000174]	from_mfdo:hab1	forest ecosystem [ENVO:01001243]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Forests	from_mfdo:hab1				
ontology_leaf	Soil	Natural	9000	Forests	9100	Temperate forests			9100	T	Free-living; Non-saline;  Soil (non-saline)	365	temperate broadleaf forest biome [ENVO:01000202]	from_mfdo:hab2	forest ecosystem [ENVO:01001243]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Temperate forests	from_mfdo:hab2	hardwoods	from_mfdo:hab2		
