row_type	mfd_sampletype	mfd_areatype	mfd_hab1_code	mfd_hab1	mfd_hab2_code	mfd_hab2	mfd_hab3_code	mfd_hab3	Natura2000	EUNIS	EMPO	n_samples	env_broad_scale	env_broad_scale_provenance	env_local_scale	env_local_scale_provenance	env_medium	env_medium_provenance	cur_vegetation	cur_vegetation_provenance	cur_land_use	cur_land_use_provenance	misc_param_json	misc_param_provenance
ontology_leaf	Soil	Natural	1000	Coastal					1000	N	Free-living; Non-saline;  Soil (non-saline)	3	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab1	sea coast [ENVO:00000303]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype						
ontology_leaf	Soil	Natural	1000	Coastal	1200	Sea cliffs and shingle or stony beaches			1200		Free-living; Non-saline;  Soil (non-saline)	2	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	sea coast [ENVO:00000303]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype			rock	from_mfdo:hab2		
ontology_leaf	Soil	Natural	1000	Coastal	1200	Sea cliffs and shingle or stony beaches	1210	Annual vegetation of drift lines	1210		Free-living; Non-saline;  Soil (non-saline)	5	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	sea coast [ENVO:00000303]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Annual vegetation of drift lines	from_mfdo:hab3	rock	from_mfdo:hab2		
ontology_leaf	Soil	Natural	1000	Coastal	1200	Sea cliffs and shingle or stony beaches	1220	Perennial vegetation of stony banks	1220		Free-living; Non-saline;  Soil (non-saline)	40	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	sea coast [ENVO:00000303]	from_mfdo:hab1	soil [ENVO:00001998]	from_mfdo:sampletype	Perennial vegetation of stony banks	from_mfdo:hab3	rock	from_mfdo:hab2		
ontology_leaf	Soil	Natural	1000	Coastal	1200	Sea cliffs and shingle or stony beaches	1230	Vegetated sea cliffs of the Atlantic and Baltic Coasts	1230		Free-living; Non-saline;  Soil (non-saline)	26	temperate shrubland biome [ENVO:01000215]	from_mfdo:hab2	sea cliff [ENVO:00000088]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype			rock	from_mfdo:hab2	"[{""has_attribute_label"":""geographic context"",""has_value_term_label"":""Atlantic coast""},{""has_attribute_label"":""geographic context"",""has_value_term_label"":""Baltic coast""}]"	from_mfdo:decomposed
ontology_leaf	Soil	Natural	1000	Coastal	1300	Salt marshes and salt meadows			1300		Free-living; Saline;  Soil (saline)	12	flooded grassland biome [ENVO:01000195]	from_mfdo:hab2	saline marsh [ENVO:00000054]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Salt marshes and salt meadows	from_mfdo:hab2	marshlands	from_mfdo:hab2		
ontology_leaf	Soil	Natural	1000	Coastal	1300	Salt marshes and salt meadows	1310	Salicornia mud	1310		Free-living; Saline;  Soil (saline)	19	flooded grassland biome [ENVO:01000195]	from_mfdo:hab2	intertidal zone [ENVO:00000316]	from_mfdo:hab3+gee_corine	soil [ENVO:00001998]	from_mfdo:sampletype	Salt marshes and salt meadows	from_mfdo:hab2	marshlands	from_mfdo:hab2		
ontology_leaf	Soil	Natural	1000	Coastal	1300	Salt marshes and salt meadows	1320	Spartina swards	1320		Free-living; Saline;  Soil (saline)	12	flooded grassland biome [ENVO:01000195]	from_mfdo:hab2	intertidal zone [ENVO:00000316]	from_mfdo:hab3+gee_corine	soil [ENVO:00001998]	from_mfdo:sampletype	Spartina swards	from_mfdo:hab3	marshlands	from_mfdo:hab2		
ontology_leaf	Soil	Natural	1000	Coastal	1300	Salt marshes and salt meadows	1330	Atlantic salt meadows	1330		Free-living; Saline;  Soil (saline)	122	flooded grassland biome [ENVO:01000195]	from_mfdo:hab2	saline marsh [ENVO:00000054]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Atlantic salt meadows	from_mfdo:hab3	marshlands	from_mfdo:hab2	"[{""has_attribute_label"":""geographic context"",""has_value_term_label"":""Atlantic coast""}]"	from_mfdo:decomposed
ontology_leaf	Soil	Natural	1000	Coastal	1300	Salt marshes and salt meadows	1340	Inland salt meadows	1340		Free-living; Saline;  Soil (saline)	7	flooded grassland biome [ENVO:01000195]	from_mfdo:hab2	saline marsh [ENVO:00000054]	from_natura2000	soil [ENVO:00001998]	from_mfdo:sampletype	Inland salt meadows	from_mfdo:hab3	marshlands	from_mfdo:hab2		
