envo_curie	envo_label	anchor_roots
ENVO:01000241	juniper woodland	astronomical body part|terrestrial ecosystem
ENVO:01000242	desert scrubland	astronomical body part|environmental zone
ENVO:01000244	pinyon juniper woodland	astronomical body part|terrestrial ecosystem
ENVO:01000255	mineral deposit	astronomical body part
ENVO:01000257	white smoker	astronomical body part
ENVO:01000260	nutricline within a water body	astronomical body part
ENVO:01000262	seep	astronomical body part
ENVO:01000263	cold seep	astronomical body part
ENVO:01000265	hydrothermal seep	astronomical body part
ENVO:01000275	structural basin	astronomical body part
ENVO:01000276	ecoregion	astronomical body part
ENVO:01000278	pingo scar	astronomical body part
ENVO:01000279	ice lens	astronomical body part
ENVO:01000280	ecozone	astronomical body part
ENVO:01000283	lake layer	astronomical body part
ENVO:01000284	amictic lake	astronomical body part
ENVO:01000285	holomictic lake	astronomical body part
ENVO:01000286	dimictic lake	astronomical body part
ENVO:01000287	polymictic lake	astronomical body part
ENVO:01000288	monomictic lake	astronomical body part
ENVO:01000289	cold monomictic lake	astronomical body part
ENVO:01000290	warm monomictic lake	astronomical body part
ENVO:01000291	cold polymictic lake	astronomical body part
ENVO:01000292	warm polymictic lake	astronomical body part
ENVO:01000293	ice mass	astronomical body part
ENVO:01000294	crevice	astronomical body part
ENVO:01000295	marine layer	astronomical body part
ENVO:01000296	dry lake bed	astronomical body part
ENVO:01000297	freshwater river	astronomical body part
ENVO:01000298	continental margin	astronomical body part
ENVO:01000299	Taylor column	astronomical body part
ENVO:01000300	atmospheric Taylor column	astronomical body part
ENVO:01000302	outcrop	astronomical body part
ENVO:01000319	rocky slope	astronomical body part
ENVO:01000320	marine environment	astronomical body part
ENVO:01000324	planetary surface	astronomical body part
ENVO:01000327	strand swamp	wetland ecosystem
ENVO:01000328	dome swamp	wetland ecosystem
ENVO:01000329	cypress dome	wetland ecosystem
ENVO:01000330	cypress strand swamp	wetland ecosystem
ENVO:01000331	cypress swamp	wetland ecosystem
ENVO:01000332	gravelly slope	astronomical body part
ENVO:01000333	hillside	astronomical body part
ENVO:01000334	talus slope	astronomical body part
ENVO:01000335	understory	vegetation layer
ENVO:01000336	shrub layer	vegetation layer
ENVO:01000337	herb and fern layer	vegetation layer
ENVO:01000338	litter layer	vegetation layer
ENVO:01000347	montane conifer woodland	astronomical body part|terrestrial ecosystem
ENVO:01000348	maize field	astronomical body part
ENVO:01000352	field	astronomical body part
ENVO:01000353	marine mesoscale eddy field	astronomical body part
ENVO:01000355	vegetation layer	vegetation layer
ENVO:01000359	limestone cave	astronomical body part
ENVO:01000360	solutional cave	astronomical body part
ENVO:01000361	primary cave	astronomical body part
ENVO:01000362	inflationary cave	astronomical body part
ENVO:01000363	erosional cave	astronomical body part
ENVO:01000364	glacier cave	astronomical body part
ENVO:01000365	ice cave	astronomical body part
ENVO:01000366	talus cave	astronomical body part
ENVO:01000367	anchialine cave	astronomical body part
ENVO:01000368	anchialine pool	astronomical body part
ENVO:01000369	vadose cave	astronomical body part
ENVO:01000374	dry woodland	astronomical body part|terrestrial ecosystem
ENVO:01000376	tropical marine semi-evergreen forest	astronomical body part|terrestrial ecosystem
ENVO:01000382	cold desert	astronomical body part|environmental zone
ENVO:01000383	temperate evergreen needleleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000384	tropical lowland evergreen broadleaf rain forest	astronomical body part|terrestrial ecosystem
ENVO:01000385	temperate deciduous broadleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000386	temperate deciduous needleleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000387	tropical deciduous broadleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000388	tropical semi-deciduous broadleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000389	temperate mixed broadleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000390	temperate mixed needleleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000391	tropical semi-evergreen moist broadleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000392	tropical upper montane forest	astronomical body part|terrestrial ecosystem
ENVO:01000393	tropical lower montane forest	astronomical body part|terrestrial ecosystem
ENVO:01000394	tropical freshwater swamp forest	astronomical body part|terrestrial ecosystem
ENVO:01000395	temperate sclerophyllous dry forest	astronomical body part|terrestrial ecosystem
ENVO:01000396	tropical sclerophyllous dry forest	astronomical body part|terrestrial ecosystem
ENVO:01000397	temperate broadleaf evergreen forest	astronomical body part|terrestrial ecosystem
ENVO:01000398	temperate freshwater swamp forest	astronomical body part|terrestrial ecosystem
ENVO:01000399	tropical needleleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000400	tropical thorn forest	astronomical body part|terrestrial ecosystem
ENVO:01000401	tropical mixed needleleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000402	tropical mixed broadleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000403	tropical mangrove	astronomical body part|terrestrial ecosystem
ENVO:01000407	littoral zone	astronomical body part
ENVO:01000408	environmental zone	environmental zone
ENVO:01000409	freshwater littoral zone	astronomical body part
ENVO:01000410	marine eulittoral zone	astronomical body part
ENVO:01000411	infralittoral zone	astronomical body part
ENVO:01000412	circalittoral zone	astronomical body part
ENVO:01000417	house	astronomical body part
ENVO:01000418	human house	astronomical body part
ENVO:01000419	domestic garden	astronomical body part
ENVO:01000420	building part	astronomical body part
ENVO:01000421	indoor kitchen	astronomical body part
ENVO:01000422	bathroom	astronomical body part
ENVO:01000423	living room	astronomical body part
ENVO:01000424	patio	astronomical body part
ENVO:01000425	indoor toilet	astronomical body part
ENVO:01000426	room	astronomical body part
ENVO:01000428	area of rocky shore	astronomical body part
ENVO:01000429	burrow	astronomical body part
ENVO:01000430	broadleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000431	mixed forest	astronomical body part|terrestrial ecosystem
ENVO:01000432	swamp forest	astronomical body part|terrestrial ecosystem
ENVO:01000433	needleleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01000434	sclerophyllous forest	astronomical body part|terrestrial ecosystem
ENVO:01000435	montane forest	astronomical body part|terrestrial ecosystem
ENVO:01000437	lava field	astronomical body part
ENVO:01000438	lava flow	astronomical body part
ENVO:01000439	andesitic volcano	astronomical body part
ENVO:01000440	dacitic volcano	astronomical body part
ENVO:01000443	salt mass	astronomical body part
ENVO:01000446	ravine	astronomical body part
ENVO:01000447	roadside	astronomical body part
ENVO:01000448	mixed grassland	astronomical body part|terrestrial ecosystem
ENVO:01000449	wet meadow ecosystem	astronomical body part|terrestrial ecosystem
ENVO:01000450	salt glacier	astronomical body part
ENVO:01000465	building wall	astronomical body part
ENVO:01000466	boundary wall	astronomical body part
ENVO:01000467	constructed barrier	astronomical body part
ENVO:01000468	fence	astronomical body part
ENVO:01000469	exterior wall	astronomical body part
ENVO:01000470	building envelope	astronomical body part
ENVO:01000471	ceiling	astronomical body part
ENVO:01000472	building roof	astronomical body part
ENVO:01000486	building floor	astronomical body part
ENVO:01000487	brick building floor	astronomical body part
ENVO:01000488	wooden building floor	astronomical body part
ENVO:01000489	concrete building floor	astronomical body part
ENVO:01000490	sandy building floor	astronomical body part
ENVO:01000491	glass building floor	astronomical body part
ENVO:01000492	dung building floor	astronomical body part
ENVO:01000493	stone building floor	astronomical body part
ENVO:01000494	thatched exterior wall	astronomical body part
ENVO:01000495	stone exterior wall	astronomical body part
ENVO:01000496	straw exterior wall	astronomical body part
ENVO:01000497	mud exterior wall	astronomical body part
ENVO:01000499	pole-reinforced mud exterior wall	astronomical body part
ENVO:01000500	brick exterior wall	astronomical body part
ENVO:01000503	burnt-brick exterior wall	astronomical body part
ENVO:01000504	unburnt-brick exterior wall	astronomical body part
ENVO:01000505	salt dome	astronomical body part
ENVO:01000506	concrete exterior wall	astronomical body part
ENVO:01000509	sheet-iron exterior wall	astronomical body part
ENVO:01000510	sheet-iron building roof	astronomical body part
ENVO:01000511	thatched building roof	astronomical body part
ENVO:01000512	wooden building roof	astronomical body part
ENVO:01000513	asbestos building roof	astronomical body part
ENVO:01000515	tiled building roof	astronomical body part
ENVO:01000518	diapir	astronomical body part
ENVO:01000521	batholith	astronomical body part
ENVO:01000522	latrine pit	astronomical body part
ENVO:01000524	outhouse	astronomical body part
ENVO:01000525	rock intrusion	astronomical body part
ENVO:01000526	sedimentary intrusion	astronomical body part
ENVO:01000531	covered latrine	astronomical body part
ENVO:01000532	covered pit latrine	astronomical body part
ENVO:01000533	covered pit latrine with slab floor	astronomical body part
ENVO:01000536	factory	astronomical body part
ENVO:01000547	glaze ice layer	astronomical body part
ENVO:01000548	eutrophic lake	astronomical body part
ENVO:01000598	freshwater spring	astronomical body part
ENVO:01000617	lentic water body	astronomical body part
ENVO:01000618	lotic water body	astronomical body part
ENVO:01000632	chonolith	astronomical body part
ENVO:01000635	planetary landmass	astronomical body part
ENVO:01000636	liquid planetary surface	astronomical body part
ENVO:01000638	planetary crust	astronomical body part
ENVO:01000639	planetary structural layer	astronomical body part
ENVO:01000640	planetary mantle	astronomical body part
ENVO:01000641	planetary core	astronomical body part
ENVO:01000642	outer planetary core	astronomical body part
ENVO:01000643	inner planetary core	astronomical body part
ENVO:01000644	liquid planetary core	astronomical body part
ENVO:01000645	solid planetary core	astronomical body part
ENVO:01000646	lithosphere	astronomical body part
ENVO:01000647	asthenosphere	astronomical body part
ENVO:01000649	trench	astronomical body part
ENVO:01000650	stream channel	astronomical body part
ENVO:01000651	ocean strait	astronomical body part
ENVO:01000652	river channel	astronomical body part
ENVO:01000653	slum	astronomical body part
ENVO:01000654	undersea trough	astronomical body part
ENVO:01000658	dense settlement	astronomical body part
ENVO:01000659	igneous intrusion	astronomical body part
ENVO:01000664	tuff cone	astronomical body part
ENVO:01000666	area of open water	astronomical body part
ENVO:01000667	geological fracture	astronomical body part
ENVO:01000668	geological fault	astronomical body part
ENVO:01000669	active geological fault	astronomical body part
ENVO:01000670	vein	astronomical body part
ENVO:01000671	dike	astronomical body part
ENVO:01000672	geological joint	astronomical body part
ENVO:01000673	shear fracture	astronomical body part
ENVO:01000674	microfracture	astronomical body part
ENVO:01000680	polluted lake	astronomical body part
ENVO:01000685	water mass	astronomical body part
ENVO:01000686	marine water mass	astronomical body part
ENVO:01000687	coast	astronomical body part
ENVO:01000688	lake coast	astronomical body part
ENVO:01000710	flood	astronomical body part
ENVO:01000711	coastal flood	astronomical body part
ENVO:01000712	riverine flood	astronomical body part
ENVO:01000713	flash flood	astronomical body part
ENVO:01000714	storm surge	astronomical body part
ENVO:01000731	igneous extrusion	astronomical body part
ENVO:01000732	clastic dike	astronomical body part
ENVO:01000733	stock	astronomical body part
ENVO:01000734	laccolith	astronomical body part
ENVO:01000735	lopolith	astronomical body part
ENVO:01000736	phacolith	astronomical body part
ENVO:01000737	sill	astronomical body part
ENVO:01000739	habitat	astronomical body part
ENVO:01000740	area of perennial water ice	astronomical body part
ENVO:01000744	human dwelling	astronomical body part
ENVO:01000745	area of perennial snow	astronomical body part
ENVO:01000746	area of perennial ice or snow	astronomical body part
ENVO:01000748	continental crust	astronomical body part
ENVO:01000749	oceanic crust	astronomical body part
ENVO:01000750	Mohorovicic discontinuity	astronomical body part
ENVO:01000752	area of barren land	astronomical body part|environmental zone
ENVO:01000754	fumarole-derived ice tower	astronomical body part
ENVO:01000755	aeroform	astronomical body part
ENVO:01000762	sparsely populated settlement	astronomical body part
ENVO:01000763	rural settlement	astronomical body part
ENVO:01000764	formal settlement	astronomical body part
ENVO:01000765	informal settlement	astronomical body part
ENVO:01000766	legal settlement	astronomical body part
ENVO:01000767	illegal settlement	astronomical body part
ENVO:01000768	primary forest	astronomical body part|terrestrial ecosystem
ENVO:01000771	all season road	astronomical body part
ENVO:01000772	rural area	astronomical body part|environmental zone
ENVO:01000773	village	astronomical body part
ENVO:01000774	oligotrophic lake	astronomical body part
ENVO:01000775	mesotrophic lake	astronomical body part
ENVO:01000779	public infrastructure	astronomical body part
ENVO:01000780	public road	astronomical body part
ENVO:01000781	public building	astronomical body part
ENVO:01000782	utility line	astronomical body part
ENVO:01000783	public utility line	astronomical body part
ENVO:01000784	illegal informal settlement	astronomical body part
ENVO:01000812	desert pavement	astronomical body part
ENVO:01000813	astronomical body part	astronomical body part
ENVO:01000816	area of deciduous forest	astronomical body part|environmental zone
ENVO:01000817	biosphere	astronomical body part
ENVO:01000819	hydrosphere	astronomical body part
ENVO:01000820	pedosphere	astronomical body part
ENVO:01000821	photosphere	astronomical body part
ENVO:01000822	planetary photic zone	astronomical body part
ENVO:01000823	illuminated biosphere part	astronomical body part
ENVO:01000824	exorheic lake	astronomical body part
ENVO:01000825	eaves	astronomical body part
ENVO:01000826	open eaves	astronomical body part
ENVO:01000827	closed eaves	astronomical body part
ENVO:01000843	area of evergreen forest	astronomical body part|environmental zone
ENVO:01000848	flower strip	astronomical body part|environmental zone
ENVO:01000849	flower-rich field margin strip	astronomical body part|environmental zone
ENVO:01000855	area of mixed forest	astronomical body part|environmental zone
ENVO:01000861	area of dwarf scrub	astronomical body part|environmental zone
ENVO:01000862	turbulent aquatic surface layer	astronomical body part
ENVO:01000863	overflow structure	astronomical body part
ENVO:01000864	mouth of liquid discharge conduit	astronomical body part
ENVO:01000868	domestic solar panel array	astronomical body part
ENVO:01000869	area of scrub	astronomical body part|environmental zone
ENVO:01000871	puddle of water	astronomical body part
ENVO:01000883	area of developed open space	astronomical body part|environmental zone
ENVO:01000884	area of developed space with low usage intensity	astronomical body part|environmental zone
ENVO:01000885	area of developed space with medium usage intensity	astronomical body part|environmental zone
ENVO:01000886	area of developed space with high usage intensity	astronomical body part|environmental zone
ENVO:01000887	area of sedge- and forb-dominated herbaceous vegetation	astronomical body part|environmental zone
ENVO:01000888	area of gramanoid or herbaceous vegetation	astronomical body part|environmental zone
ENVO:01000889	area of lichen-dominated vegetation	astronomical body part|environmental zone
ENVO:01000890	area of moss-dominated vegetation	astronomical body part|environmental zone
ENVO:01000891	area of pastureland or hayfields	astronomical body part|environmental zone
ENVO:01000892	area of cropland	astronomical body part|environmental zone
ENVO:01000893	area of woody wetland	astronomical body part|environmental zone
ENVO:01000894	area of emergent herbaceous wetland	astronomical body part|environmental zone
ENVO:01000905	shrimp pond	astronomical body part
ENVO:01000908	geothermally heated river	astronomical body part
ENVO:01000910	soil biocrust	astronomical body part
ENVO:01000914	ice ablation zone	environmental zone
ENVO:01000918	open animal house	astronomical body part
ENVO:01000921	closed animal house	astronomical body part
ENVO:01000923	petting zoo	astronomical body part
ENVO:01000924	plumbing drain	astronomical body part
ENVO:01000925	abattoir	astronomical body part
ENVO:01000926	knackery	astronomical body part
ENVO:01000927	day care building	astronomical body part
ENVO:01000928	fish processing building	astronomical body part
ENVO:01000932	nursing home	astronomical body part
ENVO:01000933	residential building	astronomical body part
ENVO:01000934	restaurant	astronomical body part
ENVO:01000935	campground	astronomical body part
ENVO:01000936	dedicated campground	astronomical body part
ENVO:01000937	impromptu campground	astronomical body part
ENVO:01000941	planetary subsurface zone	astronomical body part|environmental zone
ENVO:01000942	continental subsurface zone	astronomical body part|environmental zone
ENVO:01000943	vegetated hill	astronomical body part
ENVO:01000949	lichen woodland	astronomical body part|terrestrial ecosystem
ENVO:01000954	alpine tree line ecotone	astronomical body part
ENVO:01000965	constructed swimming pool	astronomical body part
ENVO:01000966	private swimming pool	astronomical body part
ENVO:01000967	public swimming pool	astronomical body part
ENVO:01000968	water intake	astronomical body part
ENVO:01000969	cafeteria	astronomical body part
ENVO:01000970	delicatessen	astronomical body part
ENVO:01000972	take-out restaurant	astronomical body part
ENVO:01000973	kiosk	astronomical body part
ENVO:01000974	food kiosk	astronomical body part
ENVO:01000979	channel of an intermittent river	astronomical body part
ENVO:01000980	channel of an intermittent stream	astronomical body part
ENVO:01000983	technosphere	astronomical body part
ENVO:01000984	grocery store	astronomical body part
ENVO:01000985	fairground	astronomical body part
ENVO:01000986	agricultural fairground	astronomical body part
ENVO:01000987	market	astronomical body part
ENVO:01000988	ethnic food shop	astronomical body part
ENVO:01000995	dry river	astronomical body part
ENVO:01001019	hypereutrophic lake	astronomical body part
ENVO:01001020	hypersaline lake	astronomical body part
ENVO:01001021	humic lake	astronomical body part
ENVO:01001022	natural lake	astronomical body part
ENVO:01001044	soil environment	astronomical body part
ENVO:01001045	oceanic subsurface zone	astronomical body part|environmental zone
ENVO:01001061	caldera lake	astronomical body part
ENVO:01001062	crater lake	astronomical body part
ENVO:01001065	meteorite lake	astronomical body part
ENVO:01001070	impact crater lake	astronomical body part
ENVO:01001071	impact crater	astronomical body part
ENVO:01001072	anoxic lake	astronomical body part
ENVO:01001073	lake with an anoxic hypolimnion	astronomical body part
ENVO:01001074	lake with a hypoxic hypolimnion	astronomical body part
ENVO:01001075	hypoxic lake	astronomical body part
ENVO:01001076	oxic lake	astronomical body part
ENVO:01001077	lake with an oxic hypolimnion	astronomical body part
ENVO:01001092	tectonic lake	astronomical body part
ENVO:01001097	tectonic plate	astronomical body part
ENVO:01001098	tectonic plate boundary	environmental zone
ENVO:01001099	divergent plate boundary	environmental zone
ENVO:01001100	convergent plate boundary	environmental zone
ENVO:01001101	transform plate boundary	environmental zone
ENVO:01001104	rift zone	astronomical body part
ENVO:01001105	aeolian lake	astronomical body part
ENVO:01001106	landslide lake	astronomical body part
ENVO:01001107	rockslide lake	astronomical body part
ENVO:01001109	Karman vortex street	astronomical body part
ENVO:01001111	fossil worm burrow	astronomical body part
ENVO:01001159	cirrus homogenitus cloud	astronomical body part
ENVO:01001160	cirrus cloud	astronomical body part
ENVO:01001177	arable land	astronomical body part
ENVO:01001178	pasturable land	astronomical body part
ENVO:01001182	tended pasturable land	astronomical body part
ENVO:01001183	arable or pasturable land	astronomical body part
ENVO:01001193	water-based planetary surface	astronomical body part
ENVO:01001199	terrestrial environmental zone	astronomical body part|environmental zone
ENVO:01001200	anthropised terrestrial environmental zone	astronomical body part|environmental zone
ENVO:01001201	marine environmental zone	astronomical body part
ENVO:01001206	grassland ecosystem	astronomical body part|terrestrial ecosystem
ENVO:01001207	ranch	astronomical body part
ENVO:01001208	swamp area	astronomical body part|environmental zone
ENVO:01001209	wetland ecosystem	wetland ecosystem
ENVO:01001221	office building	astronomical body part
ENVO:01001222	commercial building	astronomical body part
ENVO:01001224	office	astronomical body part
ENVO:01001226	terrestrial natural environment	astronomical body part
ENVO:01001227	aquatic natural environment	astronomical body part
ENVO:01001239	forest canopy	astronomical body part|vegetation layer
ENVO:01001240	woodland canopy	astronomical body part|vegetation layer
ENVO:01001241	crop canopy	astronomical body part|vegetation layer
ENVO:01001242	canopy	vegetation layer
ENVO:01001243	forest ecosystem	astronomical body part|terrestrial ecosystem
ENVO:01001244	cropland ecosystem	astronomical body part|terrestrial ecosystem
ENVO:01001245	woodland ecosystem	astronomical body part|terrestrial ecosystem
ENVO:01001256	coastal shrimp pond	astronomical body part
ENVO:01001269	area of developed space	astronomical body part|environmental zone
ENVO:01001272	constructed pavement	astronomical body part
ENVO:01001276	water ice layer	astronomical body part
ENVO:01001277	asphalt road	astronomical body part
ENVO:01001278	concrete road	astronomical body part
ENVO:01001279	sidewalk	astronomical body part
ENVO:01001280	driveway	astronomical body part
ENVO:01001281	paved parking lot	astronomical body part
ENVO:01001293	bush area	astronomical body part|environmental zone
ENVO:01001299	atmospheric zone	environmental zone
ENVO:01001300	area of low atmospheric pressure	astronomical body part
ENVO:01001301	aquatic estuarine layer	astronomical body part
ENVO:01001302	estuarine coastal surface layer	astronomical body part
ENVO:01001304	oasis	astronomical body part|environmental zone
ENVO:01001305	vegetated area	astronomical body part|environmental zone
ENVO:01001308	hydroform	astronomical body part
ENVO:01001312	estuarine coastal upper water column	astronomical body part
ENVO:01001313	estuarine coastal pycnocline	astronomical body part
ENVO:01001314	estuarine coastal lower water column	astronomical body part
ENVO:01001315	estuarine open water surface layer	astronomical body part
ENVO:01001316	estuarine open water upper water column	astronomical body part
ENVO:01001317	estuarine tidal riverine coastal surface layer	astronomical body part
ENVO:01001318	estuarine tidal riverine coastal upper water column	astronomical body part
ENVO:01001319	saline water body	astronomical body part
ENVO:01001320	fresh water body	astronomical body part
ENVO:01001321	brackish water body	astronomical body part
ENVO:01001322	estuarine open water lower water column	astronomical body part
ENVO:01001323	estuarine open water pycnocline	astronomical body part
ENVO:01001324	estuarine tidal riverine coastal pycnocline	astronomical body part
ENVO:01001325	estuarine tidal riverine coastal lower water column	astronomical body part
ENVO:01001326	estuarine tidal riverine open water surface layer	astronomical body part
ENVO:01001327	estuarine tidal riverine open water upper water column	astronomical body part
ENVO:01001328	estuarine tidal riverine open water pycnocline	astronomical body part
ENVO:01001329	estuarine tidal riverine open water lower water column	astronomical body part
ENVO:01001335	anchor ice	astronomical body part
ENVO:01001336	marine tidal flow	astronomical body part
ENVO:01001337	riverine anchor ice	astronomical body part
ENVO:01001338	diurnal marine tidal flow zone	astronomical body part
ENVO:01001340	semi-diurnal marine tidal flow zone	astronomical body part
ENVO:01001341	marine tidal flow zone	astronomical body part
ENVO:01001344	freshwater seep riverine anchor ice	astronomical body part
ENVO:01001345	floating ice mass	astronomical body part
ENVO:01001347	glacial equlibrium line	environmental zone
ENVO:01001348	material accumulation zone	environmental zone
ENVO:01001349	material decumulation zone	environmental zone
ENVO:01001350	ice accumulation zone	environmental zone
ENVO:01001351	ice decumulation zone	environmental zone
ENVO:01001352	glacial ice accumulation zone	environmental zone
ENVO:01001353	environmental zone of processual equilibrium	environmental zone
ENVO:01001355	crater zone	environmental zone
ENVO:01001356	volcanic crater zone	environmental zone
ENVO:01001357	desert	astronomical body part
ENVO:01001360	Paramo	astronomical body part|terrestrial ecosystem
ENVO:01001370	tundra ecosystem	astronomical body part|terrestrial ecosystem
ENVO:01001371	alpine tundra ecosystem	astronomical body part|terrestrial ecosystem
ENVO:01001376	marine faunal bed	astronomical body part
ENVO:01001378	marine bed	astronomical body part
ENVO:01001379	mussel bed	astronomical body part
ENVO:01001380	neritic mussel reef	astronomical body part
ENVO:01001381	oceanic mussel reef	astronomical body part
ENVO:01001382	area of attached mussel assemblages	astronomical body part
ENVO:01001383	area of attached Modiolus assemblages	astronomical body part
ENVO:01001385	Bathymodiolus-dominated oceanic mussel reef	astronomical body part
ENVO:01001386	mussel reef	astronomical body part
ENVO:01001388	oceanic mussel bed	astronomical body part
ENVO:01001389	neritic mussel bed	astronomical body part
ENVO:01001390	Bathymodiolus-dominated oceanic mussel bed	astronomical body part
ENVO:01001406	laboratory facility	astronomical body part
ENVO:01001407	cirrocumulus cloud	astronomical body part
ENVO:01001408	cirrostratus cloud	astronomical body part
ENVO:01001418	cirrus fibratus cloud	astronomical body part
ENVO:01001421	cirrus uncinus cloud	astronomical body part
ENVO:01001422	cirrus spissatus cloud	astronomical body part
ENVO:01001423	cirrostratus fibratus cloud	astronomical body part
ENVO:01001425	cirrus castellanus cloud	astronomical body part
ENVO:01001426	cirrocumulus castellanus cloud	astronomical body part
ENVO:01001452	Calyptra habitat	astronomical body part
ENVO:01001453	terrestrial mountain	astronomical body part
ENVO:01001454	polar mountain	astronomical body part
ENVO:01001455	temperate mountain	astronomical body part
ENVO:01001456	tropical mountain	astronomical body part
ENVO:01001457	cloud forest	astronomical body part|terrestrial ecosystem
ENVO:01001459	high-elevation mountain	astronomical body part
ENVO:01001460	mid-elevation mountain	astronomical body part
ENVO:01001461	UNEP-WCMC class 1 mountain	astronomical body part
ENVO:01001462	UNEP-WCMC class 2 mountain	astronomical body part
ENVO:01001463	UNEP-WCMC class 3 mountain	astronomical body part
ENVO:01001464	UNEP-WCMC class 4 mountain	astronomical body part
ENVO:01001465	UNEP-WCMC class 5 mountain	astronomical body part
ENVO:01001466	UNEP-WCMC class 6 mountain	astronomical body part
ENVO:01001467	UNEP-WCMC class 7 mountain	astronomical body part
ENVO:01001468	intertidal ecosystem	astronomical body part|wetland ecosystem
ENVO:01001476	body of liquid	astronomical body part
ENVO:01001477	liquid astronomical body part	astronomical body part
ENVO:01001478	gaseous astronomical body part	astronomical body part
ENVO:01001479	fluid astronomical body part	astronomical body part
ENVO:01001480	domestic building	astronomical body part
ENVO:01001481	public prison	astronomical body part
ENVO:01001482	tornado	astronomical body part
ENVO:01001483	surface of an astronomical body	astronomical body part
ENVO:01001484	fire whirl	astronomical body part
ENVO:01001485	multiple vortex tornado	astronomical body part
ENVO:01001486	landspout	astronomical body part
ENVO:01001487	waterspout	astronomical body part
ENVO:01001489	spur	astronomical body part
ENVO:01001490	intrusion	astronomical body part
ENVO:01001491	flattened elevation	astronomical body part
ENVO:01001506	ice calf	astronomical body part
ENVO:01001507	floating ice calf	astronomical body part
ENVO:01001508	anchored ice calf	astronomical body part
ENVO:01001509	terrestrial ice calf	astronomical body part
ENVO:01001517	drift ice mass	astronomical body part
ENVO:01001518	drifting sea ice mass	astronomical body part
ENVO:01001519	area of pack ice	astronomical body part
ENVO:01001520	area of sea ice	astronomical body part
ENVO:01001521	area of drift ice	astronomical body part
ENVO:01001522	fast ice	astronomical body part
ENVO:01001524	frozen land	astronomical body part
ENVO:01001529	glacier snout	astronomical body part
ENVO:01001530	water ice core	astronomical body part
ENVO:01001531	sea ice field	astronomical body part
ENVO:01001532	glacier ice field	astronomical body part
ENVO:01001534	tabular iceberg	astronomical body part
ENVO:01001535	floeberg	astronomical body part
ENVO:01001536	sea ice mass	astronomical body part
ENVO:01001537	sea ice hummock	astronomical body part
ENVO:01001538	frost-formed hummock	astronomical body part
ENVO:01001543	water ice surface layer	astronomical body part
ENVO:01001546	iceberg	astronomical body part
ENVO:01001547	land ice mass	astronomical body part
ENVO:01001550	sea-ice lead	astronomical body part
ENVO:01001551	ice lead	astronomical body part
ENVO:01001552	flaw lead	astronomical body part
ENVO:01001553	shore lead	astronomical body part
ENVO:01001554	surface layer of a water body	astronomical body part
ENVO:01001555	frozen lead	astronomical body part
ENVO:01001556	pack ice mass	astronomical body part
ENVO:01001559	cryopeg	astronomical body part
ENVO:01001568	frost heave	astronomical body part
ENVO:01001570	terrestrial ecoregion	astronomical body part
ENVO:01001581	sea surface layer	astronomical body part
ENVO:01001582	forest floor	astronomical body part
ENVO:01001607	water current	astronomical body part
ENVO:01001609	cryospheric layer	astronomical body part
ENVO:01001610	active layer in a cryosphere	astronomical body part
ENVO:01001620	mass of ice and snow	astronomical body part
ENVO:01001625	polar tundra ecosystem	astronomical body part|terrestrial ecosystem
ENVO:01001629	polymetallic nodule ecosystem	astronomical body part
ENVO:01001645	gaseous part of an atmosphere	astronomical body part
ENVO:01001653	well-mixed estuary	astronomical body part
ENVO:01001665	soil cryoturbate	astronomical body part
ENVO:01001668	atmospheric frontal zone	astronomical body part
ENVO:01001671	open cage mariculture facility	astronomical body part
ENVO:01001676	marine cline	astronomical body part
ENVO:01001743	plume	astronomical body part
ENVO:01001773	thrust fault	astronomical body part
ENVO:01001775	blind thrust fault	astronomical body part
ENVO:01001776	subsurface zone of an astronomical body	astronomical body part|environmental zone
ENVO:01001780	desert ecosystem	astronomical body part
ENVO:01001781	part of a landmass	astronomical body part
ENVO:01001782	landmass	astronomical body part
ENVO:01001783	liquid surface of an astronomical body	astronomical body part
ENVO:01001784	compound astronomical body part	astronomical body part
ENVO:01001785	land	astronomical body part
ENVO:01001786	inland sea	astronomical body part
ENVO:01001787	aquatic ecosystem	astronomical body part
ENVO:01001788	marine ecosystem	astronomical body part
ENVO:01001789	freshwater ecosystem	astronomical body part
ENVO:01001790	terrestrial ecosystem	astronomical body part|terrestrial ecosystem
ENVO:01001791	mediterranean forest	astronomical body part|terrestrial ecosystem
ENVO:01001792	tropical broadleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01001793	subtropical broadleaf forest	astronomical body part|terrestrial ecosystem
ENVO:01001794	temperate broadleaf forest	astronomical body part|terrestrial ecosystem
