fieldsample_barcode	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	habitat_type	source_signal	source_code	source_project	source_file	latitude	longitude
MFD00053	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows		natura2000	6410	P08_1	P08_1_filled_table.xlsx		
MFD00054	Soil	Natural	Sclerophyllous scrub	Scrub	Juniper scrub		natura2000	5130	P08_1	P08_1_filled_table.xlsx		
MFD00055	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD00056	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
MFD00058	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum		natura2000	9130	P08_1	P08_1_filled_table.xlsx		
MFD00059	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD00061	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows			natura2000	6400	P08_1	P08_1_filled_table.xlsx		
MFD00062	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)		natura2000	2130	P08_1	P08_1_filled_table.xlsx		
MFD00064	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum		natura2000	9130	P08_1	P08_1_filled_table.xlsx		
MFD00066	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows		natura2000	6410	P08_1	P08_1_filled_table.xlsx		
MFD00069	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD00070	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD00072	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD00078	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog		natura2000	7120	P08_1	P08_1_filled_table.xlsx		
MFD00080	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows		natura2000	6410	P08_1	P08_1_filled_table.xlsx		
MFD00081	Sediment	Natural	Saltwater	Fjords	Rocky fjord seabed		natura2000	1302	P08_1	P08_1_filled_table.xlsx		
MFD00082	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog		natura2000	7120	P08_1	P08_1_filled_table.xlsx		
MFD00083	Soil	Natural	Sclerophyllous scrub	Scrub	Juniper scrub		natura2000	5130	P08_1	P08_1_filled_table.xlsx		
MFD00085	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)		natura2000	2130	P08_1	P08_1_filled_table.xlsx		
MFD00086	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Active raised bogs		natura2000	7110	P08_1	P08_1_filled_table.xlsx		
MFD00087	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD00088	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)		natura2000	2130	P08_1	P08_1_filled_table.xlsx		
MFD00089	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD00091	Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis		natura2000	3130	P09_1	P09_1_filled_table.xlsx		
MFD00092	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic		natura2000	3160	P09_1	P09_1_filled_table.xlsx		
MFD00093	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD00095	Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis		natura2000	3130	P09_1	P09_1_filled_table.xlsx		
MFD00096	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD00097	Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis		natura2000	3130	P09_1	P09_1_filled_table.xlsx		
