fieldsample_barcode	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	habitat_type	source_signal	source_code	source_project	source_file	latitude	longitude
MFD04693	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.3791	10.04
MFD04694	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.895	9.4114
MFD04695	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.3701	9.0468
MFD04696	Soil	Natural	Forests	Temperate forests	Oak-hornbeam mixed forest		natura2000	9160	P08_1	P08_1_filled_table.xlsx		
MFD04697	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.9388	8.9371
MFD04698	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.2625	11.7497
MFD04699	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	54.7193	11.6934
MFD04700	Soil	Natural	Forests	Temperate forests	Beech forests Luzulo-Fagetum		natura2000	9110	P08_1	P08_1_filled_table.xlsx		
MFD04701	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.9444	8.7946
MFD04704	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.8864	9.6175
MFD04705	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.0435	9.8324
MFD04706	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	57.4933	10.346
MFD04707	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.6766	11.5157
MFD04708	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.8641	8.4792
MFD04709	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.0022	9.8527
MFD04710	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	56.0134	9.964
MFD04711	Soil	Natural	Forests	Temperate forests	Oak-hornbeam mixed forest		natura2000	9160	P08_1	P08_1_filled_table.xlsx		
MFD04712	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.3556	12.0612
MFD04713	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04717	Soil	Natural	Dunes	Sea dunes	Coastal dunes with Juniperus spp.		natura2000	2250	P08_1	P08_1_filled_table.xlsx		
MFD04718	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.5775	11.8608
MFD04721	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.5276	11.4891
MFD04724	Soil	Natural	Dunes	Sea dunes	Dunes H. rhamnoides		natura2000	2160	P08_1	P08_1_filled_table.xlsx		
MFD04726	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.4181	11.4468
MFD04728	Sediment	Natural	Freshwater	Standing freshwater	Lake, Hard water		natura2000	3140	P09_1	P09_1_filled_table.xlsx		
MFD04729	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04730	Soil	Natural	Dunes	Sea dunes	Dunes H. rhamnoides		natura2000	2160	P08_1	P08_1_filled_table.xlsx		
MFD04731	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows		natura2000	6410	P08_1	P08_1_filled_table.xlsx		
MFD04732	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04733	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD04734	Soil	Natural	Coastal	Salt marshes and salt meadows	Salicornia mud		natura2000	1310	P08_1	P08_1_filled_table.xlsx		
MFD04735	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04736	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04737	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Active raised bogs		natura2000	7110	P08_1	P08_1_filled_table.xlsx		
MFD04738	Soil	Natural	Dunes	Sea dunes	Coastal dunes with Juniperus spp.		natura2000	2250	P08_1	P08_1_filled_table.xlsx		
MFD04739	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04740	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04741	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04742	Soil	Natural	Sclerophyllous scrub	Scrub	Juniper scrub		natura2000	5130	P08_1	P08_1_filled_table.xlsx		
MFD04744	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04745	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04746	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04747	Soil	Natural	Bogs, mires and fens	Calcareous fens	Petrifying springs		natura2000	7220	P08_1	P08_1_filled_table.xlsx		
MFD04748	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD04750	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
MFD04751	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04752	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog		natura2000	7120	P08_1	P08_1_filled_table.xlsx		
MFD04754	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD04755	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD04756	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows		natura2000	6410	P08_1	P08_1_filled_table.xlsx		
MFD04757	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04758	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04759	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD04762	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD04763	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens		natura2000	7230	P08_1	P08_1_filled_table.xlsx		
MFD04764	Soil	Natural	Forests	Temperate forests	Alluvial woodland		natura2000	91E0	P08_1	P08_1_filled_table.xlsx		
MFD04767	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD04770	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD04771	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs		natura2000	7140	P08_1	P08_1_filled_table.xlsx		
MFD04772	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens		natura2000	7230	P08_1	P08_1_filled_table.xlsx		
MFD04773	Soil	Natural	Forests	Temperate forests	Oak-hornbeam mixed forest		natura2000	9160	P08_1	P08_1_filled_table.xlsx		
MFD04774	Soil	Natural	Bogs, mires and fens	Calcareous fens	Cladium fens		natura2000	7210	P08_1	P08_1_filled_table.xlsx		
MFD04775	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
MFD04776	Soil	Natural	Coastal	Salt marshes and salt meadows	Salicornia mud		natura2000	1310	P08_1	P08_1_filled_table.xlsx		
MFD04778	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04779	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04780	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs		natura2000	7140	P08_1	P08_1_filled_table.xlsx		
MFD04782	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04783	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD04785	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens		natura2000	7230	P08_1	P08_1_filled_table.xlsx		
MFD04786	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04787	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04788	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04789	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04790	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04791	Soil	Natural	Bogs, mires and fens	Calcareous fens			natura2000	7200	P08_1	P08_1_filled_table.xlsx		
MFD04792	Soil	Natural	Dunes	Sea dunes	Dunes H. rhamnoides		natura2000	2160	P08_1	P08_1_filled_table.xlsx		
MFD04794	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04795	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04796	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD04797	Soil	Natural	Grassland formations	Natural grasslands	Xeric sand calcareous grasslands		natura2000	6120	P08_1	P08_1_filled_table.xlsx		
MFD04798	Soil	Natural	Grassland formations	Natural grasslands	Xeric sand calcareous grasslands		natura2000	6120	P08_1	P08_1_filled_table.xlsx		
MFD04800	Soil	Natural	Coastal	Salt marshes and salt meadows	Spartina swards		natura2000	1320	P08_1	P08_1_filled_table.xlsx		
MFD04801	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04802	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04803	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows		natura2000	6410	P08_1	P08_1_filled_table.xlsx		
MFD04804	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04805	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04806	Soil	Natural	Grassland formations	Natural grasslands	Xeric sand calcareous grasslands		natura2000	6120	P08_1	P08_1_filled_table.xlsx		
MFD04807	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04808	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04809	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD04810	Soil	Natural	Coastal	Salt marshes and salt meadows	Salicornia mud		natura2000	1310	P08_1	P08_1_filled_table.xlsx		
MFD04811	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04812	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD04813	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs		natura2000	7140	P08_1	P08_1_filled_table.xlsx		
MFD04815	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04816	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04817	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04818	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD04820	Soil	Natural	Dunes	Sea dunes	Embryonic shifting dunes		natura2000	2110	P08_1	P08_1_filled_table.xlsx		
MFD04821	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows		natura2000	6410	P08_1	P08_1_filled_table.xlsx		
MFD04822	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04824	Soil	Natural	Sclerophyllous scrub	Scrub	Juniper scrub		natura2000	5130	P08_1	P08_1_filled_table.xlsx		
MFD04826	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04827	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04829	Soil	Natural	Forests	Temperate forests	Bog woodland		natura2000	91D0	P08_1	P08_1_filled_table.xlsx		
MFD04830	Soil	Natural	Grassland formations	Natural grasslands	Xeric sand calcareous grasslands		natura2000	6120	P08_1	P08_1_filled_table.xlsx		
MFD04831	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04832	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum		natura2000	9130	P08_1	P08_1_filled_table.xlsx		
MFD04833	Soil	Natural	Grassland formations	Natural grasslands	Xeric sand calcareous grasslands		natura2000	6120	P08_1	P08_1_filled_table.xlsx		
MFD04834	Soil	Natural	Forests	Temperate forests	Alluvial woodland		natura2000	91E0	P08_1	P08_1_filled_table.xlsx		
MFD04835	Soil	Natural	Forests	Temperate forests	Bog woodland		natura2000	91D0	P08_1	P08_1_filled_table.xlsx		
MFD04836	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD04837	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD04838	Soil	Natural	Dunes	Sea dunes	Embryonic shifting dunes		natura2000	2110	P08_1	P08_1_filled_table.xlsx		
MFD04839	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD04840	Soil	Natural	Dunes	Sea dunes	Embryonic shifting dunes		natura2000	2110	P08_1	P08_1_filled_table.xlsx		
MFD04841	Soil	Natural	Coastal	Salt marshes and salt meadows	Spartina swards		natura2000	1320	P08_1	P08_1_filled_table.xlsx		
MFD04842	Soil	Natural	Dunes	Sea dunes	Dunes creeping willow		natura2000	2170	P08_1	P08_1_filled_table.xlsx		
MFD04843	Soil	Natural	Coastal	Sea cliffs and shingle or stony beaches	Vegetated sea cliffs of the Atlantic and Baltic Coasts		natura2000	1230	P08_1	P08_1_filled_table.xlsx		
MFD04844	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD04845	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Active raised bogs		natura2000	7110	P08_1	P08_1_filled_table.xlsx		
MFD04846	Soil	Natural	Coastal	Salt marshes and salt meadows	Spartina swards		natura2000	1320	P08_1	P08_1_filled_table.xlsx		
MFD04847	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD04848	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD04849	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04850	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04851	Soil	Natural	Forests	Temperate forests	Bog woodland		natura2000	91D0	P08_1	P08_1_filled_table.xlsx		
MFD04854	Soil	Natural	Dunes	Sea dunes	Dunes H. rhamnoides		natura2000	2160	P08_1	P08_1_filled_table.xlsx		
MFD04856	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04858	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04859	Soil	Natural	Grassland formations	Natural grasslands	Xeric sand calcareous grasslands		natura2000	6120	P08_1	P08_1_filled_table.xlsx		
MFD04860	Soil	Natural	Dunes	Inland dunes	Inland dunes Empetrum nigrum		natura2000	2320	P08_1	P08_1_filled_table.xlsx		
MFD04861	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04862	Soil	Natural	Dunes	Inland dunes	Inland dunes Empetrum nigrum		natura2000	2320	P08_1	P08_1_filled_table.xlsx		
MFD04863	Soil	Natural	Coastal	Salt marshes and salt meadows	Spartina swards		natura2000	1320	P08_1	P08_1_filled_table.xlsx		
MFD04864	Soil	Natural	Dunes	Sea dunes	Humid dune slacks		natura2000	2190	P08_1	P08_1_filled_table.xlsx		
MFD04866	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04867	Soil	Natural	Coastal	Salt marshes and salt meadows	Spartina swards		natura2000	1320	P08_1	P08_1_filled_table.xlsx		
MFD04868	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows		natura2000	1330	P08_1	P08_1_filled_table.xlsx		
MFD04869	Soil	Natural	Coastal	Salt marshes and salt meadows	Spartina swards		natura2000	1320	P08_1	P08_1_filled_table.xlsx		
MFD04870	Soil	Natural	Forests	Temperate forests	Beech forests Luzulo-Fagetum		natura2000	9110	P08_1	P08_1_filled_table.xlsx		
MFD04871	Sediment	Natural	Freshwater	Running freshwater		streams	standard		P10_2	P10_2_filled_table.xlsx	55.178	10.7893
MFD04872	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04873	Soil	Natural	Dunes	Inland dunes	Inland dunes Genista		natura2000	2310	P08_1	P08_1_filled_table.xlsx		
MFD04874	Soil	Natural	Bogs, mires and fens	Calcareous fens	Petrifying springs		natura2000	7220	P08_1	P08_1_filled_table.xlsx		
MFD04876	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Active raised bogs		natura2000	7110	P08_1	P08_1_filled_table.xlsx		
MFD04877	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04878	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows		natura2000	6410	P08_1	P08_1_filled_table.xlsx		
MFD04879	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
MFD04880	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04881	Soil	Natural	Forests	Temperate forests	Oak-hornbeam mixed forest		natura2000	9160	P08_1	P08_1_filled_table.xlsx		
MFD04884	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04886	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04887	Soil	Natural	Forests	Temperate forests	Beech forests Acidophilous with Ilex		natura2000	9120	P08_1	P08_1_filled_table.xlsx		
MFD04888	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04890	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum		natura2000	9130	P08_1	P08_1_filled_table.xlsx		
MFD04891	Soil	Natural	Forests	Temperate forests	Bog woodland		natura2000	91D0	P08_1	P08_1_filled_table.xlsx		
MFD04892	Soil	Natural	Bogs, mires and fens	Calcareous fens	Petrifying springs		natura2000	7220	P08_1	P08_1_filled_table.xlsx		
MFD04893	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04894	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum		natura2000	9130	P08_1	P08_1_filled_table.xlsx		
MFD04895	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD04896	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD04898	Soil	Natural	Dunes	Sea dunes	Dunes H. rhamnoides		natura2000	2160	P08_1	P08_1_filled_table.xlsx		
MFD04899	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs		natura2000	7140	P08_1	P08_1_filled_table.xlsx		
MFD04900	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD04901	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows		natura2000	6410	P08_1	P08_1_filled_table.xlsx		
MFD04902	Soil	Natural	Forests	Temperate forests	Alluvial woodland		natura2000	91E0	P08_1	P08_1_filled_table.xlsx		
MFD04903	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
MFD04904	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04905	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD04906	Soil	Natural	Forests	Temperate forests	Alluvial woodland		natura2000	91E0	P08_1	P08_1_filled_table.xlsx		
MFD04907	Soil	Natural	Dunes	Inland dunes	Inland dunes Genista		natura2000	2310	P08_1	P08_1_filled_table.xlsx		
MFD04908	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog		natura2000	7120	P08_1	P08_1_filled_table.xlsx		
MFD04910	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD04911	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD04912	Soil	Natural	Grassland formations	Semi-natural dry grasslands			natura2000	6200	P08_1	P08_1_filled_table.xlsx		
MFD04914	Soil	Natural	Coastal	Salt marshes and salt meadows	Spartina swards		natura2000	1320	P08_1	P08_1_filled_table.xlsx		
MFD04915	Soil	Natural	Coastal	Sea cliffs and shingle or stony beaches	Perennial vegetation of stony banks		natura2000	1220	P08_1	P08_1_filled_table.xlsx		
MFD04916	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04917	Soil	Natural	Dunes	Sea dunes	Marram dunes (white dunes)		natura2000	2120	P08_1	P08_1_filled_table.xlsx		
MFD04918	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog		natura2000	7120	P08_1	P08_1_filled_table.xlsx		
MFD04919	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD04922	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
MFD04923	Soil	Natural	Forests	Temperate forests			natura2000	9100	P08_1	P08_1_filled_table.xlsx		
MFD04924	Soil	Natural	Dunes	Sea dunes	Marram dunes (white dunes)		natura2000	2120	P08_1	P08_1_filled_table.xlsx		
MFD04925	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04926	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Active raised bogs		natura2000	7110	P08_1	P08_1_filled_table.xlsx		
MFD04927	Soil	Natural	Forests	Temperate forests	Beech forests Luzulo-Fagetum		natura2000	9110	P08_1	P08_1_filled_table.xlsx		
MFD04928	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic		natura2000	3160	P09_1	P09_1_filled_table.xlsx		
MFD04929	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04930	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
MFD04931	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland		natura2000	6210	P08_1	P08_1_filled_table.xlsx		
MFD04932	Soil	Natural	Dunes	Inland dunes	Inland dunes grass		natura2000	2330	P08_1	P08_1_filled_table.xlsx		
MFD04933	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath		natura2000	4010	P08_1	P08_1_filled_table.xlsx		
MFD04934	Soil	Natural	Dunes	Sea dunes	Dunes creeping willow		natura2000	2170	P08_1	P08_1_filled_table.xlsx		
MFD04935	Soil	Natural	Dunes	Sea dunes	Marram dunes (white dunes)		natura2000	2120	P08_1	P08_1_filled_table.xlsx		
MFD04936	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog		natura2000	7120	P08_1	P08_1_filled_table.xlsx		
